On Time,Off Time,Running Duration,Off Duration
2020-12-07 09:01:35+00:00,2020-12-07 09:42:25+00:00,0:40:50,0:32:05
2020-12-07 10:14:30+00:00,2020-12-07 10:55:02+00:00,0:40:32,0:31:38
2020-12-07 11:26:40+00:00,2020-12-07 12:07:04+00:00,0:40:24,0:32:06
2020-12-07 12:39:10+00:00,2020-12-07 13:18:43+00:00,0:39:33,0:31:57
2020-12-07 13:50:40+00:00,2020-12-07 14:11:50+00:00,0:21:10,0:37:20
2020-12-07 14:49:10+00:00,2020-12-07 15:27:29+00:00,0:38:19,0:32:30
2020-12-07 15:59:59+00:00,2020-12-07 16:39:01+00:00,0:39:02,0:32:23
2020-12-07 17:11:24+00:00,2020-12-07 17:50:20+00:00,0:38:56,0:31:53
2020-12-07 18:22:13+00:00,2020-12-07 19:00:57+00:00,0:38:44,0:32:21
2020-12-07 19:33:18+00:00,2020-12-07 20:12:59+00:00,0:39:41,0:32:25
2020-12-07 20:45:24+00:00,2020-12-07 21:24:39+00:00,0:39:15,0:32:14
2020-12-07 21:56:53+00:00,2020-12-07 22:36:14+00:00,0:39:21,0:32:14
2020-12-07 23:08:28+00:00,2020-12-07 23:47:46+00:00,0:39:18,0:32:31
2020-12-08 00:20:17+00:00,2020-12-08 00:59:51+00:00,0:39:34,0:32:31
2020-12-08 01:32:22+00:00,2020-12-08 02:11:21+00:00,0:38:59,0:32:01
2020-12-08 02:43:22+00:00,2020-12-08 03:22:20+00:00,0:38:58,0:32:18
2020-12-08 03:54:38+00:00,2020-12-08 04:33:46+00:00,0:39:08,0:32:06
2020-12-08 05:05:52+00:00,2020-12-08 05:44:49+00:00,0:38:57,0:31:49
2020-12-08 06:16:38+00:00,2020-12-08 06:55:30+00:00,0:38:52,0:32:13
2020-12-08 07:27:43+00:00,2020-12-08 08:06:40+00:00,0:38:57,0:32:06
2020-12-08 08:38:46+00:00,2020-12-08 09:17:53+00:00,0:39:07,0:32:23
2020-12-08 09:50:16+00:00,2020-12-08 10:29:39+00:00,0:39:23,0:32:17
2020-12-08 11:01:56+00:00,2020-12-08 11:41:12+00:00,0:39:16,0:32:08
2020-12-08 12:13:20+00:00,2020-12-08 12:52:22+00:00,0:39:02,0:29:10
2020-12-08 13:21:32+00:00,2020-12-08 13:49:40+00:00,0:28:08,0:04:43
2020-12-08 13:54:23+00:00,2020-12-08 15:17:17+00:00,1:22:54,0:27:24
2020-12-08 15:44:41+00:00,2020-12-08 16:32:48+00:00,0:48:07,0:29:11
2020-12-08 17:01:59+00:00,2020-12-08 17:45:42+00:00,0:43:43,0:30:10
2020-12-08 18:15:52+00:00,2020-12-08 18:58:26+00:00,0:42:34,0:30:28
2020-12-08 19:28:54+00:00,2020-12-08 20:10:46+00:00,0:41:52,0:31:08
2020-12-08 20:41:54+00:00,2020-12-08 21:21:58+00:00,0:40:04,0:30:27
2020-12-08 21:52:25+00:00,2020-12-08 22:32:55+00:00,0:40:30,0:30:56
2020-12-08 23:03:51+00:00,2020-12-08 23:43:30+00:00,0:39:39,0:30:45
2020-12-09 00:14:15+00:00,2020-12-09 00:53:35+00:00,0:39:20,0:31:10
2020-12-09 01:24:45+00:00,2020-12-09 02:03:18+00:00,0:38:33,0:31:24
2020-12-09 02:34:42+00:00,2020-12-09 03:12:37+00:00,0:37:55,0:31:23
2020-12-09 03:44:00+00:00,2020-12-09 04:21:21+00:00,0:37:21,0:31:03
2020-12-09 04:52:24+00:00,2020-12-09 05:29:47+00:00,0:37:23,0:31:23
2020-12-09 06:01:10+00:00,2020-12-09 06:38:52+00:00,0:37:42,0:31:39
2020-12-09 07:10:31+00:00,2020-12-09 07:48:05+00:00,0:37:34,0:31:25
2020-12-09 08:19:30+00:00,2020-12-09 08:56:55+00:00,0:37:25,0:31:43
2020-12-09 09:28:38+00:00,2020-12-09 10:06:53+00:00,0:38:15,0:31:35
2020-12-09 10:38:28+00:00,2020-12-09 11:16:59+00:00,0:38:31,0:31:22
2020-12-09 11:48:21+00:00,2020-12-09 12:27:32+00:00,0:39:11,0:31:29
2020-12-09 12:59:01+00:00,2020-12-09 13:38:10+00:00,0:39:09,0:31:30
2020-12-09 14:09:40+00:00,2020-12-09 14:52:13+00:00,0:42:33,0:30:57
2020-12-09 15:23:10+00:00,2020-12-09 16:03:54+00:00,0:40:44,0:31:31
2020-12-09 16:35:25+00:00,2020-12-09 17:15:22+00:00,0:39:57,0:31:04
2020-12-09 17:46:26+00:00,2020-12-09 18:25:51+00:00,0:39:25,0:31:24
2020-12-09 18:57:15+00:00,2020-12-09 19:36:14+00:00,0:38:59,0:31:07
2020-12-09 20:07:21+00:00,2020-12-09 20:46:09+00:00,0:38:48,0:31:18
2020-12-09 21:17:27+00:00,2020-12-09 21:56:01+00:00,0:38:34,0:31:20
2020-12-09 22:27:21+00:00,2020-12-09 23:05:50+00:00,0:38:29,0:31:20
2020-12-09 23:37:10+00:00,2020-12-10 00:15:37+00:00,0:38:27,0:31:34
2020-12-10 00:47:11+00:00,2020-12-10 01:25:20+00:00,0:38:09,0:31:45
2020-12-10 01:57:05+00:00,2020-12-10 02:33:58+00:00,0:36:53,0:32:35
2020-12-10 03:06:33+00:00,2020-12-10 03:42:48+00:00,0:36:15,0:32:27
2020-12-10 04:15:15+00:00,2020-12-10 04:51:47+00:00,0:36:32,0:32:19
2020-12-10 05:24:06+00:00,2020-12-10 06:00:54+00:00,0:36:48,0:32:06
2020-12-10 06:33:00+00:00,2020-12-10 07:10:00+00:00,0:37:00,0:32:09
2020-12-10 07:42:09+00:00,2020-12-10 08:19:10+00:00,0:37:01,0:32:13
2020-12-10 08:51:23+00:00,2020-12-10 09:28:31+00:00,0:37:08,0:32:11
2020-12-10 10:00:42+00:00,2020-12-10 10:38:58+00:00,0:38:16,0:32:06
2020-12-10 11:11:04+00:00,2020-12-10 11:48:43+00:00,0:37:39,0:31:48
2020-12-10 12:20:31+00:00,2020-12-10 12:57:55+00:00,0:37:24,0:31:58
2020-12-10 13:29:53+00:00,2020-12-10 14:07:38+00:00,0:37:45,0:31:47
2020-12-10 14:39:25+00:00,2020-12-10 15:17:34+00:00,0:38:09,0:31:56
2020-12-10 15:49:30+00:00,2020-12-10 16:27:27+00:00,0:37:57,0:31:50
2020-12-10 16:59:17+00:00,2020-12-10 17:37:12+00:00,0:37:55,0:31:47
2020-12-10 18:08:59+00:00,2020-12-10 18:46:49+00:00,0:37:50,0:03:52
2020-12-10 18:50:41+00:00,2020-12-10 19:13:23+00:00,0:22:42,0:04:43
2020-12-10 19:18:06+00:00,2020-12-10 20:37:53+00:00,1:19:47,0:27:18
2020-12-10 21:05:11+00:00,2020-12-10 21:50:36+00:00,0:45:25,0:29:20
2020-12-10 22:19:56+00:00,2020-12-10 23:01:31+00:00,0:41:35,0:29:55
2020-12-10 23:31:26+00:00,2020-12-11 00:12:23+00:00,0:40:57,0:30:36
2020-12-11 00:42:59+00:00,2020-12-11 01:23:52+00:00,0:40:53,0:30:46
2020-12-11 01:54:38+00:00,2020-12-11 02:34:38+00:00,0:40:00,0:30:59
2020-12-11 03:05:37+00:00,2020-12-11 03:45:10+00:00,0:39:33,0:31:03
2020-12-11 04:16:13+00:00,2020-12-11 04:55:47+00:00,0:39:34,0:31:17
2020-12-11 05:27:04+00:00,2020-12-11 06:06:25+00:00,0:39:21,0:31:18
2020-12-11 06:37:43+00:00,2020-12-11 07:16:49+00:00,0:39:06,0:31:41
2020-12-11 07:48:30+00:00,2020-12-11 08:26:45+00:00,0:38:15,0:31:24
2020-12-11 08:58:09+00:00,2020-12-11 09:37:20+00:00,0:39:11,0:31:32
2020-12-11 10:08:52+00:00,2020-12-11 10:47:34+00:00,0:38:42,0:31:17
2020-12-11 11:18:51+00:00,2020-12-11 11:57:23+00:00,0:38:32,0:31:48
2020-12-11 12:29:11+00:00,2020-12-11 13:07:10+00:00,0:37:59,0:31:54
2020-12-11 13:39:04+00:00,2020-12-11 14:16:55+00:00,0:37:51,0:31:58
2020-12-11 14:48:53+00:00,2020-12-11 15:26:22+00:00,0:37:29,0:31:43
2020-12-11 15:58:05+00:00,2020-12-11 16:35:58+00:00,0:37:53,0:31:54
2020-12-11 17:07:52+00:00,2020-12-11 17:46:08+00:00,0:38:16,0:31:54
2020-12-11 18:18:02+00:00,2020-12-11 18:55:59+00:00,0:37:57,0:31:53
2020-12-11 19:27:52+00:00,2020-12-11 20:05:56+00:00,0:38:04,0:31:57
2020-12-11 20:37:53+00:00,2020-12-11 21:16:02+00:00,0:38:09,0:31:52
2020-12-11 21:47:54+00:00,2020-12-11 22:25:46+00:00,0:37:52,0:31:37
2020-12-11 22:57:23+00:00,2020-12-11 23:35:34+00:00,0:38:11,0:31:52
2020-12-12 00:07:26+00:00,2020-12-12 00:45:47+00:00,0:38:21,0:31:52
2020-12-12 01:17:39+00:00,2020-12-12 01:55:31+00:00,0:37:52,0:31:42
2020-12-12 02:27:13+00:00,2020-12-12 03:05:09+00:00,0:37:56,0:31:34
2020-12-12 03:36:43+00:00,2020-12-12 04:14:31+00:00,0:37:48,0:31:48
2020-12-12 04:46:19+00:00,2020-12-12 05:23:33+00:00,0:37:14,0:31:30
2020-12-12 05:55:03+00:00,2020-12-12 06:32:48+00:00,0:37:45,0:31:47
2020-12-12 07:04:35+00:00,2020-12-12 07:42:28+00:00,0:37:53,0:31:40
2020-12-12 08:14:08+00:00,2020-12-12 08:52:26+00:00,0:38:18,0:31:56
2020-12-12 09:24:22+00:00,2020-12-12 10:02:04+00:00,0:37:42,0:31:30
2020-12-12 10:33:34+00:00,2020-12-12 11:11:12+00:00,0:37:38,0:31:41
2020-12-12 11:42:53+00:00,2020-12-12 12:21:03+00:00,0:38:10,0:31:40
2020-12-12 12:52:43+00:00,2020-12-12 13:31:18+00:00,0:38:35,0:31:37
2020-12-12 14:02:55+00:00,2020-12-12 14:41:09+00:00,0:38:14,0:31:33
2020-12-12 15:12:42+00:00,2020-12-12 15:50:50+00:00,0:38:08,0:31:46
2020-12-12 16:22:36+00:00,2020-12-12 17:02:03+00:00,0:39:27,0:31:42
2020-12-12 17:33:45+00:00,2020-12-12 18:12:46+00:00,0:39:01,0:31:20
2020-12-12 18:44:06+00:00,2020-12-12 19:23:46+00:00,0:39:40,0:31:24
2020-12-12 19:55:10+00:00,2020-12-12 20:36:38+00:00,0:41:28,0:31:07
2020-12-12 21:07:45+00:00,2020-12-12 21:48:28+00:00,0:40:43,0:31:19
2020-12-12 22:19:47+00:00,2020-12-12 22:59:51+00:00,0:40:04,0:31:22
2020-12-12 23:31:13+00:00,2020-12-13 00:11:17+00:00,0:40:04,0:04:32
2020-12-13 00:15:49+00:00,2020-12-13 00:39:21+00:00,0:23:32,0:04:43
2020-12-13 00:44:04+00:00,2020-12-13 02:07:43+00:00,1:23:39,0:27:12
2020-12-13 02:34:55+00:00,2020-12-13 03:22:36+00:00,0:47:41,0:28:50
2020-12-13 03:51:26+00:00,2020-12-13 04:35:25+00:00,0:43:59,0:29:48
2020-12-13 05:05:13+00:00,2020-12-13 05:47:45+00:00,0:42:32,0:30:14
2020-12-13 06:17:59+00:00,2020-12-13 06:59:25+00:00,0:41:26,0:30:30
2020-12-13 07:29:55+00:00,2020-12-13 08:10:27+00:00,0:40:32,0:30:39
2020-12-13 08:41:06+00:00,2020-12-13 09:21:51+00:00,0:40:45,0:30:59
2020-12-13 09:52:50+00:00,2020-12-13 10:33:11+00:00,0:40:21,0:31:02
2020-12-13 11:04:13+00:00,2020-12-13 11:44:19+00:00,0:40:06,0:31:10
2020-12-13 12:15:29+00:00,2020-12-13 12:54:37+00:00,0:39:08,0:31:00
2020-12-13 13:25:37+00:00,2020-12-13 14:05:07+00:00,0:39:30,0:31:25
2020-12-13 14:36:32+00:00,2020-12-13 15:15:26+00:00,0:38:54,0:31:30
2020-12-13 15:46:56+00:00,2020-12-13 16:25:13+00:00,0:38:17,0:31:53
2020-12-13 16:57:06+00:00,2020-12-13 17:37:34+00:00,0:40:28,0:31:47
2020-12-13 18:09:21+00:00,2020-12-13 18:30:24+00:00,0:21:03,0:36:09
2020-12-13 19:06:33+00:00,2020-12-13 19:43:46+00:00,0:37:13,0:31:29
2020-12-13 20:15:15+00:00,2020-12-13 20:53:09+00:00,0:37:54,0:31:53
2020-12-13 21:25:02+00:00,2020-12-13 22:03:10+00:00,0:38:08,0:31:43
2020-12-13 22:34:53+00:00,2020-12-13 23:12:57+00:00,0:38:04,0:31:50
2020-12-13 23:44:47+00:00,2020-12-14 00:22:30+00:00,0:37:43,0:31:49
2020-12-14 00:54:19+00:00,2020-12-14 01:32:25+00:00,0:38:06,0:32:09
2020-12-14 02:04:34+00:00,2020-12-14 02:42:01+00:00,0:37:27,0:31:54
2020-12-14 03:13:55+00:00,2020-12-14 03:51:57+00:00,0:38:02,0:32:02
2020-12-14 04:23:59+00:00,2020-12-14 05:01:44+00:00,0:37:45,0:31:56
2020-12-14 05:33:40+00:00,2020-12-14 06:11:03+00:00,0:37:23,0:31:30
2020-12-14 06:42:33+00:00,2020-12-14 07:20:31+00:00,0:37:58,0:31:50
2020-12-14 07:52:21+00:00,2020-12-14 08:30:04+00:00,0:37:43,0:31:47
2020-12-14 09:01:51+00:00,2020-12-14 09:39:05+00:00,0:37:14,0:31:46
2020-12-14 10:10:51+00:00,2020-12-14 10:48:34+00:00,0:37:43,0:32:04
2020-12-14 11:20:38+00:00,2020-12-14 11:58:06+00:00,0:37:28,0:31:55
2020-12-14 12:30:01+00:00,2020-12-14 13:07:49+00:00,0:37:48,0:31:52
2020-12-14 13:39:41+00:00,2020-12-14 14:17:15+00:00,0:37:34,0:32:01
2020-12-14 14:49:16+00:00,2020-12-14 15:26:52+00:00,0:37:36,0:31:54
2020-12-14 15:58:46+00:00,2020-12-14 16:36:09+00:00,0:37:23,0:31:48
2020-12-14 17:07:57+00:00,2020-12-14 17:46:03+00:00,0:38:06,0:31:53
2020-12-14 18:17:56+00:00,2020-12-14 18:56:11+00:00,0:38:15,0:32:07
2020-12-14 19:28:18+00:00,2020-12-14 20:06:33+00:00,0:38:15,0:31:53
2020-12-14 20:38:26+00:00,2020-12-14 21:17:02+00:00,0:38:36,0:31:52
2020-12-14 21:48:54+00:00,2020-12-14 22:27:30+00:00,0:38:36,0:31:35
2020-12-14 22:59:05+00:00,2020-12-14 23:37:33+00:00,0:38:28,0:31:51
2020-12-15 00:09:24+00:00,2020-12-15 00:47:25+00:00,0:38:01,0:31:49
2020-12-15 01:19:14+00:00,2020-12-15 01:57:30+00:00,0:38:16,0:31:57
2020-12-15 02:29:27+00:00,2020-12-15 03:08:08+00:00,0:38:41,0:32:01
2020-12-15 03:40:09+00:00,2020-12-15 04:18:06+00:00,0:37:57,0:31:36
2020-12-15 04:49:42+00:00,2020-12-15 05:27:48+00:00,0:38:06,0:04:15
