On Time,Off Time,Running Duration,Off Duration
2020-12-25 07:04:32+00:00,2020-12-25 07:11:11+00:00,0:06:39,0:30:48
2020-12-25 07:41:59+00:00,2020-12-25 07:49:23+00:00,0:07:24,0:30:41
2020-12-25 08:20:04+00:00,2020-12-25 08:26:55+00:00,0:06:51,0:31:15
2020-12-25 08:58:10+00:00,2020-12-25 09:05:12+00:00,0:07:02,0:30:51
2020-12-25 09:36:03+00:00,2020-12-25 09:42:55+00:00,0:06:52,0:32:10
2020-12-25 10:15:05+00:00,2020-12-25 10:22:02+00:00,0:06:57,0:31:18
2020-12-25 10:53:20+00:00,2020-12-25 11:00:18+00:00,0:06:58,0:31:46
2020-12-25 11:32:04+00:00,2020-12-25 11:38:34+00:00,0:06:30,0:30:46
2020-12-25 12:09:20+00:00,2020-12-25 12:16:04+00:00,0:06:44,0:31:24
2020-12-25 12:47:28+00:00,2020-12-25 12:53:55+00:00,0:06:27,0:31:08
2020-12-25 13:25:03+00:00,2020-12-25 13:31:53+00:00,0:06:50,0:30:38
2020-12-25 14:02:31+00:00,2020-12-25 14:09:23+00:00,0:06:52,0:31:56
2020-12-25 14:41:19+00:00,2020-12-25 14:48:46+00:00,0:07:27,0:32:14
2020-12-25 15:21:00+00:00,2020-12-25 15:27:49+00:00,0:06:49,0:31:56
2020-12-25 15:59:45+00:00,2020-12-25 16:07:00+00:00,0:07:15,0:29:25
2020-12-25 16:36:25+00:00,2020-12-25 16:43:09+00:00,0:06:44,0:31:04
2020-12-25 17:14:13+00:00,2020-12-25 17:20:54+00:00,0:06:41,0:31:24
2020-12-25 17:52:18+00:00,2020-12-25 17:59:19+00:00,0:07:01,0:31:22
2020-12-25 18:30:41+00:00,2020-12-25 18:37:24+00:00,0:06:43,0:31:43
2020-12-25 19:09:07+00:00,2020-12-25 19:15:45+00:00,0:06:38,0:31:55
2020-12-25 19:47:40+00:00,2020-12-25 19:54:29+00:00,0:06:49,0:32:52
2020-12-25 20:27:21+00:00,2020-12-25 20:34:30+00:00,0:07:09,0:32:03
2020-12-25 21:06:33+00:00,2020-12-25 21:13:41+00:00,0:07:08,0:32:08
2020-12-25 21:45:49+00:00,2020-12-25 21:53:02+00:00,0:07:13,0:32:48
2020-12-25 22:25:50+00:00,2020-12-25 22:32:27+00:00,0:06:37,0:32:23
2020-12-25 23:04:50+00:00,2020-12-25 23:11:33+00:00,0:06:43,0:32:39
2020-12-25 23:44:12+00:00,2020-12-25 23:50:58+00:00,0:06:46,0:32:39
2020-12-26 00:23:37+00:00,2020-12-26 00:30:42+00:00,0:07:05,0:33:38
2020-12-26 01:04:20+00:00,2020-12-26 01:11:37+00:00,0:07:17,0:34:05
2020-12-26 01:45:42+00:00,2020-12-26 01:52:38+00:00,0:06:56,0:33:56
2020-12-26 02:26:34+00:00,2020-12-26 02:33:36+00:00,0:07:02,0:34:27
2020-12-26 03:08:03+00:00,2020-12-26 03:15:03+00:00,0:07:00,0:34:59
2020-12-26 03:50:02+00:00,2020-12-26 03:56:59+00:00,0:06:57,0:35:12
