time,voltage,current,frequency,power
0,53.713125000000005,0.004,60.0,0.21485250000000003
1,94.640625,0.007,60.0,0.662484375
2,108.24375,0.008,60.0,0.8659500000000001
3,108.38249999999998,0.008,60.0,0.8670599999999998
4,82.77374999999999,0.005,60.0,0.41386874999999995
5,106.55625,0.008,60.0,0.85245
6,108.5175,0.008,60.0,0.86814
7,108.31687500000001,0.008,60.0,0.866535
8,108.31687500000001,0.008,60.0,0.866535
9,108.38249999999998,0.008,60.0,0.8670599999999998
10,108.0375,0.008,60.0,0.8643
11,94.42125,0.007,60.0,0.66094875
12,108.31687500000001,0.008,60.0,0.866535
13,86.480625,0.006,60.0,0.51888375
14,108.24937500000001,0.008,60.0,0.8659950000000002
15,107.47124999999998,0.008,60.0,0.8597699999999999
16,108.451875,0.008,60.0,0.867615
17,83.655,0.006,60.0,0.50193
18,106.65187499999999,0.007,60.0,0.746563125
19,108.17437499999998,0.008,60.0,0.8653949999999999
20,109.209375,0.008,60.0,0.873675
21,88.10249999999999,0.006,60.0,0.528615
22,108.58125,0.008,60.0,0.86865
23,104.63249999999998,0.007,60.0,0.7324274999999999
24,108.825,0.008,60.0,0.8706
25,80.353125,0.006,60.0,0.48211875000000004
26,108.82874999999999,0.008,60.0,0.8706299999999999
27,108.770625,0.008,60.0,0.870165
28,108.17625000000001,0.008,60.0,0.8654100000000001
29,81.575625,0.006,60.0,0.48945375
30,103.584375,0.007,60.0,0.725090625
31,108.24750000000002,0.008,60.0,0.8659800000000002
32,108.17437499999998,0.008,60.0,0.8653949999999999
33,78.474375,0.006,60.0,0.47084624999999997
34,104.25,0.008,60.0,0.834
35,106.753125,0.008,60.0,0.854025
36,108.17625000000001,0.008,60.0,0.8654100000000001
37,86.206875,0.006,60.0,0.51724125
38,108.178125,0.008,60.0,0.865425
39,107.955,0.008,60.0,0.86364
40,108.10499999999999,0.008,60.0,0.8648399999999999
41,108.10124999999998,0.008,60.0,0.8648099999999999
42,107.953125,0.008,60.0,0.863625
43,105.01312500000002,0.007,60.0,0.7350918750000002
44,108.24562499999999,0.008,60.0,0.865965
45,108.10687500000002,0.008,60.0,0.8648550000000002
46,83.9475,0.006,60.0,0.503685
47,108.17437499999998,0.008,60.0,0.8653949999999999
48,101.01,0.007,60.0,0.7070700000000001
49,106.04437500000002,0.007,60.0,0.7423106250000001
50,84.525,0.006,60.0,0.50715
51,108.103125,0.008,60.0,0.8648250000000001
52,99.62062499999999,0.008,60.0,0.7969649999999999
53,107.38875,0.008,60.0,0.85911
54,78.47625000000001,0.006,60.0,0.47085750000000004
55,108.103125,0.008,60.0,0.8648250000000001
56,108.17625000000001,0.008,60.0,0.8654100000000001
57,108.10499999999999,0.008,60.0,0.8648399999999999
58,85.65375,0.006,60.0,0.5139225000000001
59,106.35375000000002,0.007,60.0,0.7444762500000002
60,108.10499999999999,0.008,60.0,0.8648399999999999
61,107.30249999999998,0.008,60.0,0.8584199999999998
62,86.20875,0.006,60.0,0.5172525
63,107.37937500000001,0.008,60.0,0.8590350000000001
64,108.178125,0.008,60.0,0.865425
65,108.103125,0.008,60.0,0.8648250000000001
66,93.97687499999999,0.006,60.0,0.56386125
67,50.0625,0.003,60.0,0.1501875
68,50.0625,0.004,60.0,0.20025
69,50.05875,0.003,60.0,0.15017625
70,108.25125,0.008,60.0,0.8660100000000001
71,108.18000000000002,0.008,60.0,0.8654400000000002
72,50.471250000000005,0.003,60.0,0.15141375
73,50.05875,0.003,60.0,0.15017625
74,50.060625,0.003,60.0,0.15018187500000002
75,87.02624999999999,0.006,60.0,0.5221574999999999
76,93.980625,0.006,60.0,0.56388375
77,50.469375,0.003,60.0,0.151408125
78,94.2,0.007,60.0,0.6594
79,78.4725,0.005,60.0,0.3923625
80,50.05875,0.003,60.0,0.15017625
81,53.31,0.003,60.0,0.15993000000000002
82,103.02000000000001,0.007,60.0,0.7211400000000001
83,107.908125,0.005,60.0,0.539540625
