time,voltage,current,frequency,power
121,95.938125,0.006,60.0,0.57562875
122,105.92249999999999,0.007,60.0,0.7414574999999999
123,84.225,0.006,60.0,0.50535
124,105.36187499999998,0.007,60.0,0.7375331249999999
125,102.87562499999999,0.007,60.0,0.720129375
126,107.71312500000002,0.007,60.0,0.7539918750000002
127,93.75,0.006,60.0,0.5625
128,93.751875,0.006,60.0,0.56251125
129,107.953125,0.008,60.0,0.863625
130,107.95125,0.007,60.0,0.75565875
131,107.95125,0.008,60.0,0.86361
132,83.36437500000001,0.006,60.0,0.50018625
133,108.028125,0.008,60.0,0.864225
134,107.953125,0.007,60.0,0.755671875
135,101.480625,0.007,60.0,0.710364375
136,85.65,0.006,60.0,0.5139
137,101.64375,0.007,60.0,0.71150625
138,101.64375,0.007,60.0,0.71150625
139,87.564375,0.006,60.0,0.52538625
140,83.06625,0.006,60.0,0.4983975
141,103.30687500000002,0.007,60.0,0.7231481250000001
142,107.94750000000002,0.008,60.0,0.8635800000000001
143,96.35249999999999,0.007,60.0,0.6744675
144,85.64625,0.006,60.0,0.5138775
145,96.96937499999999,0.006,60.0,0.5818162499999999
146,107.715,0.008,60.0,0.86172
147,107.37749999999998,0.007,60.0,0.7516424999999999
148,107.949375,0.008,60.0,0.863595
149,101.64375,0.007,60.0,0.71150625
150,95.925,0.006,60.0,0.57555
151,107.87250000000002,0.007,60.0,0.7551075000000002
152,107.791875,0.007,60.0,0.7545431250000001
153,85.9275,0.006,60.0,0.5155649999999999
154,107.953125,0.007,60.0,0.755671875
155,107.949375,0.007,60.0,0.755645625
156,107.953125,0.008,60.0,0.863625
157,80.65875,0.005,60.0,0.40329375
158,102.71625000000002,0.007,60.0,0.7190137500000001
159,98.89312499999998,0.007,60.0,0.6922518749999998
160,108.45374999999999,0.007,60.0,0.7591762499999999
161,88.888125,0.006,60.0,0.53332875
162,103.006875,0.007,60.0,0.7210481249999999
163,85.65187499999999,0.006,60.0,0.5139112499999999
164,108.03,0.008,60.0,0.86424
165,86.75437500000001,0.006,60.0,0.5205262500000001
166,108.64500000000001,0.007,60.0,0.760515
167,108.170625,0.008,60.0,0.865365
168,108.0225,0.007,60.0,0.7561574999999999
169,93.751875,0.006,60.0,0.56251125
170,50.87624999999999,0.003,60.0,0.15262874999999998
171,106.453125,0.007,60.0,0.745171875
172,107.95125,0.007,60.0,0.75565875
173,109.30125000000001,0.008,60.0,0.8744100000000001
174,85.925625,0.006,60.0,0.51555375
175,108.028125,0.007,60.0,0.756196875
176,107.37937500000001,0.008,60.0,0.8590350000000001
177,108.99375,0.007,60.0,0.76295625
178,87.02437499999999,0.006,60.0,0.5221462499999999
179,90.91499999999999,0.006,60.0,0.5454899999999999
180,108.70874999999998,0.008,60.0,0.8696699999999998
181,107.63249999999998,0.008,60.0,0.8610599999999998
182,87.56625,0.006,60.0,0.5253975
183,80.349375,0.005,60.0,0.401746875
184,108.64500000000001,0.008,60.0,0.8691600000000002
185,87.29625,0.006,60.0,0.5237775
186,80.03999999999999,0.005,60.0,0.40019999999999994
187,108.02625,0.008,60.0,0.86421
188,101.32312499999999,0.007,60.0,0.7092618749999999
189,49.653749999999995,0.003,60.0,0.14896125
190,108.02625,0.008,60.0,0.86421
191,108.10124999999998,0.007,60.0,0.7567087499999998
192,108.76312500000002,0.008,60.0,0.8701050000000001
193,107.955,0.007,60.0,0.755685
194,108.770625,0.008,60.0,0.870165
195,103.168125,0.007,60.0,0.722176875
196,97.5525,0.007,60.0,0.6828675
197,93.525,0.006,60.0,0.56115
198,108.028125,0.007,60.0,0.756196875
199,82.47562500000001,0.006,60.0,0.49485375000000004
200,103.155,0.007,60.0,0.722085
201,106.65,0.007,60.0,0.74655
202,96.95812500000001,0.007,60.0,0.678706875
203,88.625625,0.006,60.0,0.53175375
204,87.834375,0.006,60.0,0.52700625
205,108.706875,0.007,60.0,0.760948125
206,108.706875,0.008,60.0,0.869655
207,87.564375,0.006,60.0,0.52538625
208,93.975,0.006,60.0,0.56385
209,107.555625,0.007,60.0,0.7528893750000001
210,107.95125,0.007,60.0,0.75565875
211,105.358125,0.007,60.0,0.737506875
212,101.79937499999998,0.007,60.0,0.712595625
213,107.95125,0.007,60.0,0.75565875
214,101.641875,0.007,60.0,0.7114931250000001
215,107.94750000000002,0.007,60.0,0.7556325000000002
216,54.10875,0.004,60.0,0.21643500000000002
217,107.95125,0.007,60.0,0.75565875
218,99.25687500000001,0.007,60.0,0.694798125
219,95.29125,0.006,60.0,0.5717475000000001
220,88.888125,0.006,60.0,0.53332875
221,104.248125,0.007,60.0,0.7297368750000001
222,83.360625,0.006,60.0,0.50016375
223,88.62375,0.006,60.0,0.5317425
224,79.730625,0.005,60.0,0.39865312500000005
225,108.826875,0.007,60.0,0.761788125
226,106.34812500000001,0.007,60.0,0.7444368750000001
227,108.64500000000001,0.007,60.0,0.760515
228,85.9275,0.005,60.0,0.4296375
229,51.283125,0.003,60.0,0.153849375
230,108.705,0.007,60.0,0.760935
231,108.579375,0.007,60.0,0.760055625
232,103.98375000000001,0.007,60.0,0.7278862500000001
233,87.028125,0.006,60.0,0.5221687500000001
234,108.02625,0.008,60.0,0.86421
235,108.16875,0.007,60.0,0.75718125
236,108.64500000000001,0.007,60.0,0.760515
237,81.871875,0.006,60.0,0.49123125
238,106.64812499999998,0.007,60.0,0.7465368749999999
239,79.419375,0.005,60.0,0.397096875
240,108.585,0.007,60.0,0.760095
241,87.568125,0.006,60.0,0.52540875
242,106.24875,0.007,60.0,0.74374125
243,78.15187499999999,0.005,60.0,0.39075937499999996
244,93.748125,0.006,60.0,0.56248875
245,51.28499999999999,0.003,60.0,0.15385499999999996
246,101.4825,0.007,60.0,0.7103775
247,79.730625,0.005,60.0,0.39865312500000005
248,102.864375,0.007,60.0,0.7200506249999999
249,87.02437499999999,0.006,60.0,0.5221462499999999
250,103.15125,0.007,60.0,0.7220587500000001
251,101.65124999999999,0.007,60.0,0.7115587499999999
252,108.31312499999999,0.008,60.0,0.8665049999999999
253,103.005,0.007,60.0,0.721035
254,103.005,0.007,60.0,0.721035
255,101.956875,0.007,60.0,0.713698125
256,108.095625,0.008,60.0,0.864765
257,102.110625,0.007,60.0,0.714774375
258,85.64812500000001,0.006,60.0,0.51388875
259,101.32124999999999,0.007,60.0,0.70924875
260,99.43500000000002,0.007,60.0,0.6960450000000001
261,93.29625,0.006,60.0,0.5597775
262,79.41749999999999,0.005,60.0,0.3970875
263,95.50687500000001,0.007,60.0,0.668548125
264,96.54375,0.007,60.0,0.67580625
265,101.48625,0.007,60.0,0.71040375
266,78.15,0.005,60.0,0.39075000000000004
267,101.4825,0.007,60.0,0.7103775
268,49.64812500000001,0.003,60.0,0.14894437500000002
269,94.644375,0.006,60.0,0.56786625
270,86.47875,0.006,60.0,0.5188725000000001
271,95.7225,0.006,60.0,0.574335
272,50.878125000000004,0.003,60.0,0.15263437500000002
273,50.878125000000004,0.003,60.0,0.15263437500000002
274,88.6275,0.006,60.0,0.531765
275,94.861875,0.006,60.0,0.56917125
276,99.27375,0.006,60.0,0.5956425000000001
277,102.28125,0.007,60.0,0.71596875
278,105.13125,0.007,60.0,0.73591875
279,86.199375,0.006,60.0,0.51719625
280,102.73687499999998,0.006,60.0,0.6164212499999999
281,103.771875,0.004,60.0,0.4150875
282,104.16749999999999,0.004,60.0,0.41667
283,122.878125,0.006,60.0,0.73726875
284,122.87625,0.006,786.42,0.7372575
285,122.878125,0.006,786.42,0.73726875
286,122.878125,0.006,786.42,0.73726875
