time,voltage1,voltage2,current1,current2,frequency,active_power
0,105.67125000000001,110.0175,0.08,0.02,60.0,1374389.0665600002
1,0.26999999999999996,0.26999999999999996,0.005,0.005,60.0,1374389.5344
2,0.26999999999999996,0.26999999999999996,0.005,0.005,119.24400000000001,0.0
3,0.26999999999999996,0.26999999999999996,0.005,0.005,106.84800000000001,1374389.5344
4,0.26625,0.26625,0.005,0.005,134.67600000000002,1374389.5344
5,0.26999999999999996,0.26999999999999996,0.005,0.005,94.02,1374389.5344
6,0.26625,0.26625,0.005,0.005,111.57600000000001,1374389.5344
7,0.26625,0.26625,0.005,0.005,146.35199999999998,1374389.5344
8,0.26625,0.26625,0.005,0.005,130.776,0.0
9,0.26999999999999996,0.26999999999999996,0.005,0.005,97.764,1374389.5344
10,0.26999999999999996,0.26999999999999996,0.005,0.005,144.28799999999998,0.0
11,0.26999999999999996,0.26999999999999996,0.005,0.005,87.63600000000001,0.0
12,0.26999999999999996,0.26999999999999996,0.005,0.005,90.132,1374389.5344
13,0.26999999999999996,0.26999999999999996,0.005,0.005,138.996,1374389.5344
14,0.26625,0.26999999999999996,0.005,0.005,110.82,0.0
15,0.26999999999999996,0.26999999999999996,0.005,0.005,76.752,0.0
16,0.26625,0.26625,0.005,0.005,131.892,1374389.5344
17,0.26625,0.26625,0.005,0.005,142.94400000000002,1374389.5344
18,0.26625,0.26625,0.005,0.005,125.124,1374389.5344
19,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
20,0.26625,0.26625,0.005,0.005,72.36,0.0
21,0.26625,0.26625,0.005,0.005,81.63600000000001,1374389.5344
22,0.26999999999999996,0.26999999999999996,0.005,0.005,113.436,0.0
23,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
24,0.26625,0.26625,0.005,0.005,81.04800000000002,0.0
25,0.26999999999999996,0.26999999999999996,0.005,0.005,75.58800000000001,1374389.5344
26,0.26999999999999996,0.26999999999999996,0.005,0.005,134.196,0.0
27,0.26625,0.26625,0.005,0.005,83.316,1374389.5344
28,0.26999999999999996,0.26999999999999996,0.005,0.005,119.76,0.0
29,0.26999999999999996,0.26999999999999996,0.005,0.005,140.52,0.0
30,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
31,0.26999999999999996,0.26999999999999996,0.005,0.005,139.82399999999998,0.0
32,0.26625,0.26625,0.005,0.005,88.86,1374389.5344
33,0.26999999999999996,0.26999999999999996,0.005,0.005,70.536,1374389.5344
34,0.26999999999999996,0.26999999999999996,0.005,0.005,127.416,1374389.5344
35,0.26625,0.26625,0.005,0.005,140.652,0.0
36,0.26625,0.26999999999999996,0.005,0.005,111.096,0.0
37,0.2625,0.2625,0.005,0.005,84.15599999999999,0.0
38,0.26625,0.26625,0.005,0.005,118.64400000000002,0.0
39,0.26999999999999996,0.26999999999999996,0.005,0.005,127.94400000000002,1374389.5344
40,0.26625,0.26625,0.005,0.005,149.7,1374389.5344
41,0.26625,0.26625,0.005,0.005,117.97200000000001,0.0
42,0.26625,0.26625,0.005,0.005,120.132,0.0
43,0.26625,0.26999999999999996,0.005,0.005,91.392,0.0
44,0.26625,0.26625,0.005,0.005,139.884,1374389.5344
45,0.26999999999999996,0.26999999999999996,0.005,0.005,134.088,0.0
46,0.26625,0.26625,0.005,0.005,134.088,0.0
47,0.26625,0.26625,0.005,0.005,95.1,1374389.5344
48,0.26625,0.26625,0.005,0.005,49.812,1374389.5344
49,0.26625,0.26625,0.005,0.005,97.45199999999998,0.0
50,0.26999999999999996,0.26625,0.005,0.005,131.388,1374389.5344
51,0.26999999999999996,0.26999999999999996,0.005,0.005,71.568,1374389.5344
52,0.26625,0.26625,0.005,0.005,102.12,1374389.5344
53,0.26625,0.26625,0.005,0.005,90.696,0.0
54,0.26999999999999996,0.26999999999999996,0.005,0.005,147.048,1374389.5344
55,0.26625,0.26625,0.005,0.005,117.072,1374389.5344
56,0.26625,0.26625,0.005,0.005,149.7,1374389.5344
57,0.26625,0.26625,0.005,0.005,97.896,0.0
58,0.26625,0.26625,0.005,0.005,149.412,0.0
59,0.2625,0.2625,0.005,0.005,104.664,1374389.5344
