time,voltage1,voltage2,current1,current2,frequency,active_power
0,56.90999999999999,58.59375,0.003,0.004,60.0,0.22763999999999995
1,107.24250000000002,108.03374999999998,0.007,0.008,60.0,0.8579400000000001
2,94.00125,95.713125,0.006,0.007,60.0,0.65800875
3,107.983125,108.88500000000002,0.007,0.008,60.0,0.863865
4,107.9025,108.819375,0.007,0.008,60.0,0.8632200000000001
5,108.05249999999998,108.94125,0.007,0.008,60.0,0.8644199999999999
6,108.05625,108.88312500000002,0.007,0.008,60.0,0.86445
7,107.325,108.10875000000001,0.007,0.008,60.0,0.8586
8,108.05625,108.94312499999998,0.007,0.008,60.0,0.86445
9,108.05812499999999,108.946875,0.007,0.008,60.0,0.8644649999999999
10,84.82875,86.66437499999999,0.005,0.006,60.0,0.5089725
11,78.17625000000001,80.21437499999999,0.005,0.006,60.0,0.46905750000000007
12,108.20062500000002,109.06312499999999,0.007,0.008,60.0,0.8656050000000002
13,108.73875000000001,109.49250000000002,0.007,0.008,60.0,0.8699100000000001
14,108.73687499999998,109.53562500000001,0.008,0.008,60.0,0.8698949999999999
15,122.878125,122.878125,65.535,65.535,786.42,8052.817921874999
16,108.796875,109.58250000000001,0.007,0.008,60.0,0.870375
17,104.034375,105.10687500000002,0.004,0.008,60.0,0.4161375
18,107.82562500000002,108.75562499999998,0.008,0.008,60.0,0.8626050000000002
19,80.371875,82.64812500000001,0.005,0.006,60.0,0.48223125
20,107.9775,108.815625,0.007,0.008,60.0,0.86382
21,96.16125000000001,97.963125,0.006,0.007,60.0,0.67312875
22,100.5975,101.863125,0.007,0.007,60.0,0.7041825
23,84.825,86.938125,0.006,0.007,60.0,0.50895
24,107.90062500000002,108.75375,0.007,0.008,60.0,0.8632050000000002
25,106.576875,107.435625,0.007,0.008,60.0,0.746038125
26,107.49750000000002,108.4125,0.007,0.008,60.0,0.8599800000000002
27,107.98125,108.82125,0.007,0.008,60.0,0.86385
28,107.82562500000002,108.68999999999998,0.007,0.008,60.0,0.8626050000000002
29,107.9025,108.819375,0.007,0.008,60.0,0.8632200000000001
30,105.51000000000002,106.46812500000001,0.007,0.008,60.0,0.7385700000000002
31,107.81999999999998,108.75,0.007,0.008,60.0,0.8625599999999999
32,107.979375,108.88312500000002,0.008,0.008,60.0,0.863835
33,106.58250000000001,107.61750000000002,0.103,0.008,60.0,11.830657500000001
34,85.39125,87.21000000000001,0.062,0.006,60.0,5.89199625
35,51.294375,53.01375,0.038,0.004,60.0,2.205658125
36,89.934375,92.079375,0.07,0.007,60.0,7.1048156250000005
37,108.67125000000001,109.43812499999999,0.101,0.008,60.0,11.953837500000002
38,108.675,109.43999999999998,0.104,0.008,60.0,12.280275
39,108.61125,109.389375,0.111,0.008,60.0,13.033349999999999
40,108.673125,109.48875000000001,0.103,0.008,60.0,12.17139
41,108.54749999999999,109.340625,0.007,0.008,60.0,0.8683799999999999
42,108.545625,109.33875,0.007,0.008,60.0,0.868365
43,106.96125000000002,107.86499999999998,0.007,0.008,60.0,0.8556900000000002
44,107.908125,108.823125,0.007,0.008,60.0,0.863265
45,107.82374999999999,108.68625,0.007,0.008,60.0,0.86259
46,77.533125,79.588125,0.005,0.006,60.0,0.46519875
47,77.533125,79.588125,0.005,0.006,60.0,0.387665625
48,77.205,79.2675,0.062,0.006,60.0,5.327145000000001
49,107.745,108.68812499999999,0.104,0.008,60.0,12.175185
50,107.746875,108.68812499999999,0.105,0.008,60.0,12.390890625
51,107.74125,108.684375,0.108,0.008,60.0,12.60572625
52,104.91,106.145625,0.101,0.008,60.0,11.43519
53,107.82374999999999,108.75375,0.103,0.008,60.0,12.07626
54,122.878125,122.878125,0.004,0.007,60.0,0.4915125
55,107.98125,108.88125,0.007,0.008,60.0,0.86385
56,93.77624999999999,95.4975,0.006,0.007,60.0,0.6564337499999999
57,107.743125,108.62062499999999,0.007,0.008,60.0,0.8619450000000001
58,84.825,86.66437499999999,0.006,0.007,60.0,0.50895
59,85.11,86.94,0.006,0.007,60.0,0.51066
